IdNumber_Numero-db|MikanNumber_Numero-MIKAN|Title-Titre|Image-Number_Numero-Image|ImageUrl|Access_Condition-acces|Branch_Service|DateIssued_Date|Description|Location_Endroit|Photographer_Photographe|Subject_Sujet
1|3199591|Privates W.D. Dewar (left) and J.A. Mackenzie, both of The Stormont, Dundas and Glengarry Highlanders, displaying their bagpipes to Dutch children, Nijmegen, Netherlands, 15 November 1944.|a137363-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a137363-v6|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-137363       @Restrictions on use: Nil       @Copyright: Expired|Army|November 15, 1944.||Nijmegen, Netherlands:|Bell, Ken.|Mil. - Personnel - Bands - 1944/11/15.@Instruments - Musical - Bagpipes.@Mil. - Personnel - General - 1944/11/15.@Army.
2|3199643|Sergeant E.J. Savage of the 4th Anti-Tank Regiment, Royal Canadian Artillery (R.C.A.), guarding surrendering German soldiers, Sneek, Netherlands, 28 May 1945.|a137250-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a137250-v6|Credit: Capt. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-137250       @Restrictions on use: Nil       @Copyright: Expired|Army|May 28, 1945.||Sneek, Netherlands,:|Smith, Jack H.|Mil. - Personnel - Foreign - German - 1945/05/28.@Mil. - Ops. - Land - 1945/05/28.@Army.
3|3199645|Brigadier J.D.B. Smith inspecting personnel of the 10th Infantry Brigade Workshop, Royal Canadian Electrical and Mechanical Engineers (R.C.E.M.E.), Rijssen, Netherlands, 30 May 1945.|a137252-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a137252-v6|Credit: Capt. J. Ernest DeGuire / Canada.  Dept. of National Defence / Library and Archives Canada / PA-137252       @Restrictions on use: Nil       @Copyright: Expired|Army|May 30, 1945.||Rijssen, Netherlands:|DeGuire, J. Ernest.|Smith, J.D.B.@Ceremonies - Mil. - Inspections - 1945/05/30.@Mil. - Units - 10th Infantry Brigade - 1945/05/30.@Army.
4|3199652|Brigadier J.D.B. Smith talking with Private J.A. Braconnier, a despatch rider with the 10th Canadian Infantry Brigade, Rijssen, Netherlands, 30 May 1945.|a137259-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a137259-v6|Credit: Capt. J. Ernest DeGuire / Canada.  Dept. of National Defence / Library and Archives Canada / PA-137259       @Restrictions on use: Nil       @Copyright: Expired|Army|May 30, 1945.||Rijssen, Netherlands,:|DeGuire, J. Ernest.|Smith, J.D.B.@Braconnier, J.A.@Mil. - Units - 10th Infantry Brigade - 1945/05/30.@Army.
5|3199655|Regimental Quartermaster-Sergeant W.J. Hansford of The Perth Regiment pointing to a sign which reads "You Are Now Entering Stratford". Sneek, Netherlands, 22 November 1945.|a137262-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a137262-v6|Credit: Sgt. R.H.C. Angelo / Canada.  Dept. of National Defence / Library and Archives Canada / PA-137262       @Restrictions on use: Nil       @Copyright: Expired|Army|November 22, 1945.||Sneek, Netherlands:|Angelo, R.H.C.|Netherlands - Sneek.@Mil. - Units - Perth Regiment - 1945/11/22.@Mil. - Personnel - Recreation - 1945/11/22.@Army.
6|3191507|Gunner Brian O’Regan of No. 3 Public Relations Group with two Russian soldiers during the linkup of Russian and American armies at Torgau, Germany, 27 April 1945.|a136330|http://central.bac-lac.gc.ca/.item/?op=img&id=a136330|Credit: Capt. Frank L. Dubervill / Canada. Dept. of National Defence / Library and Archives Canada / PA-136330       @Restrictions on use: Nil       @Copyright: Expired|Army|April 27, 1945.||Torgau, Germany,:|Dubervill, Frank L.|Mil. - Personnel - Foreign - Russian - 1945/04/27.@Mil. - Personnel - General - 1945/04/27.@O'Regan, Brian.@Army.
7|3191549|Lieutenant-Colonel J.F.R. Akehurst, Commanding Officer,  2nd Battalion, First Special Service Force, examines Sergeant Tommy Prince’s Military Medal, which was awarded  for “distinguished and gallant service” at Anzio. Buckingham Palace, London, England, 12 February 1945.|a142288|http://central.bac-lac.gc.ca/.item/?op=img&id=a142288|Credit: Lieut. Christopher J. Woods / Canada.  Dept. of National Defence / Library and Archives Canada / PA-142288       @Restrictions on use: Nil       @Copyright: Expired|Army|February 12, 1945.||London, England,:|Woods, Christopher J.|Ceremonies - Presentation - 1945/02/10.@Akehurst, Lt. Col.@Prince, Tommy.@Army.
8|3191554|H/Captain Robert Seaborn, Chaplain of the 1st Battalion, The Canadian Scottish Regiment, giving absolution to an unidentified soldier of the 3rd Canadian Infantry Division near Caen, France, 15 July 1944.|a142245|http://central.bac-lac.gc.ca/.item/?op=img&id=a142245|Credit: Lieut. H. Gordon Aikman / Canada. Dept. of National Defence / Library and Archives Canada / PA-142245       @Restrictions on use: Nil       @Copyright: Expired|Army|July 15, 1944.||Caen, France (vicinity),:|Aikman, H. Gordon.|Services - Religious.@Seaborn, R.L.@Mil. - Personnel - Casualties - 1944/07/15.@Army.
9|3191579|Unidentified soldiers preparing to disembark from H.M.C.S. PRINCE DAVID off the Normandy beachhead, France, 6 June 1944.|a143819|http://central.bac-lac.gc.ca/.item/?op=img&id=a143819|Credit: PO Donovan James Thorndick / Canada. Dept. of National Defence / Library and Archives Canada / PA-143819       @Restrictions on use: Nil       @Copyright: Expired|Navy|June 6, 1944.||Normandy,:|Thorndick, Donovan James.|Mil. - Ops. - Sea - 1944/06/06.@Transp. - Water - H.M.C.S. PRINCE DAVID.@Royal Canadian Navy (R.C.N.)
10|3191583|Sapper A.T. White  of the Royal Canadian Engineers (R.C.E.), 3rd Canadian Infantry Division, talking with members of the Dutch Resistance near the Belgium-Netherlands border, 16 October 1944.|a144086|http://central.bac-lac.gc.ca/.item/?op=img&id=a144086|Credit: Lieut. H. Gordon  Aikman / Canada.  Dept. of National Defence / Library and Archives Canada / PA-144086       @Restrictions on use: Nil       @Copyright: Expired|Army|October 16, 1944.||Belgium-Netherlands border (vicinity):|Aikman, H. Gordon.|White, A.T.@Mil. - Units - R.C.E. - 1944/10/16.@Netherlands - Beauchauterhaven.@Army.
